# Scalar ASCII output created by CarpetIOScalar
# created on CynthiaMG by cynthia on Dec 20 2025 at 15:14:58-0600
# parameter filename: "/home/cynthia/simulations/tov_test/output-0000/tov_cynthia.par"
# Build ID: build-sim-CynthiaMG-cynthia-2025.12.15-20.44.05-243581
# Simulation ID: run-tov_cynthia-CynthiaMG-cynthia-2025.12.20-21.14.57-8067
# Run ID: run-tov_cynthia-CynthiaMG-cynthia-2025.12.20-21.14.57-8067
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 4 0.00126128240589465
1024 8 0.00126086459522238
1536 12 0.00127016546464758
2048 16 0.00127561631373316
2560 20 0.00127549603641714
3072 24 0.00127286888185476
3584 28 0.00126870957994482
4096 32 0.0012620333005038
4608 36 0.00125320958046925
5120 40 0.00124463248247762
5632 44 0.00123854829733947
6144 48 0.00123561928637529
6656 52 0.00123536647578129
7168 56 0.00123688750668328
7680 60 0.00123934056627435
8192 64 0.00124219052623073
8704 68 0.00124500872621655
9216 72 0.00124745823907321
9728 76 0.00124948908345491
10240 80 0.00125113259245298
10752 84 0.0012525812406794
11264 88 0.00125393859047989
11776 92 0.00125540133710435
12288 96 0.00125702218515903
12800 100 0.00125887409780462
13312 104 0.00126100300450916
13824 108 0.00126340151706253
14336 112 0.00126601683968602
14848 116 0.00126872335769804
15360 120 0.00127133914491369
15872 124 0.0012736971982666
16384 128 0.00127566886117459
16896 132 0.00127709909084193
17408 136 0.00127788992845847
17920 140 0.00127795132998044
18432 144 0.00127730662199038
18944 148 0.00127605943482067
19456 152 0.00127434595773388
19968 156 0.00127235800721443
20480 160 0.00127024836880955
20992 164 0.00126813245764842
21504 168 0.00126610418539538
22016 172 0.00126419025378167
22528 176 0.00126240073988226
23040 180 0.00126077453413541
23552 184 0.00125933351927977
24064 188 0.00125813543981219
24576 192 0.00125723444112009
25088 196 0.00125664640419631
25600 200 0.00125639280775622
26112 204 0.00125641398441314
26624 208 0.00125668495197585
27136 212 0.00125714835672715
27648 216 0.00125780262383571
28160 220 0.00125861362307981
28672 224 0.00125960380204567
29184 228 0.00126071322164673
29696 232 0.00126193843718731
30208 236 0.00126321403235609
30720 240 0.00126452896532251
31232 244 0.00126588403362091
31744 248 0.00126729582825144
32256 252 0.00126879042693301
32768 256 0.00127028479763793
33280 260 0.00127167627313101
33792 264 0.00127282646359389
34304 268 0.00127365122652355
34816 272 0.00127410838373424
35328 276 0.00127419905739516
35840 280 0.00127399012809721
36352 284 0.00127357675233257
36864 288 0.00127305279151387
37376 292 0.00127248356874822
37888 296 0.00127192832995496
38400 300 0.00127141438158654
38912 304 0.00127096017417919
39424 308 0.00127057806792675
39936 312 0.00127024541520127
40448 316 0.00126991504072246
40960 320 0.00126954875395102
41472 324 0.00126912347615556
41984 328 0.00126860687990881
42496 332 0.00126804598585555
43008 336 0.00126747617037722
43520 340 0.00126696891747511
44032 344 0.00126656873878845
44544 348 0.00126632312846533
45056 352 0.00126625456104703
45568 356 0.00126640224396037
46080 360 0.00126675939398598
46592 364 0.0012672731981174
47104 368 0.00126789276148548
47616 372 0.00126858032456927
48128 376 0.00126931451590328
48640 380 0.00127005491955618
49152 384 0.00127078325045675
49664 388 0.00127144145583552
50176 392 0.00127203156394266
50688 396 0.00127252983292383
51200 400 0.00127294222805008
51712 404 0.0012732616501975
52224 408 0.00127349301532982
52736 412 0.00127368770209925
53248 416 0.00127388076711612
53760 420 0.00127409502467193
54272 424 0.00127431158237268
54784 428 0.00127451962960976
55296 432 0.0012746788089167
55808 436 0.00127479768444143
56320 440 0.00127483740307519
56832 444 0.00127479499330174
57344 448 0.00127464928667097
57856 452 0.00127441480716317
58368 456 0.00127414020336871
58880 460 0.00127384982172936
59392 464 0.00127361226211829
59904 468 0.00127347603524515
60416 472 0.00127346389631435
60928 476 0.00127359114954279
61440 480 0.00127386226524118
61952 484 0.00127422998703116
62464 488 0.00127460215424546
62976 492 0.00127487712487172
63488 496 0.00127501558579033
64000 500 0.00127503073258307
64512 504 0.00127499328406005
65024 508 0.00127495884023357
65536 512 0.00127493741751831
66048 516 0.00127494030889754
66560 520 0.00127494541772142
67072 524 0.001274958673854
67584 528 0.00127497692743016
68096 532 0.00127501403669775
68608 536 0.00127508993253233
69120 540 0.00127522425390309
69632 544 0.00127542983895815
70144 548 0.00127568630202215
70656 552 0.00127598454625819
71168 556 0.00127629193820431
71680 560 0.00127658946669915
72192 564 0.00127685474019728
72704 568 0.00127711145816483
73216 572 0.00127737615641537
73728 576 0.00127764283489624
74240 580 0.00127789728310074
74752 584 0.00127813270450378
75264 588 0.00127837218735507
75776 592 0.00127862281414697
